MacAddress,IpPrivate,IpPublic1,IpPublic2,Value1,Value2,Value3,Value4,Status,Location,DateTime,Description
a47a.a46c.e607,192.168.11.138,,,40.5,52.2,-0.6,204,online,11/0-13D3C2-U0C0L0,4/13/2016 9:00:04 PM,
001a.ad8e.7320,192.168.26.63,100.65.97.38,6466.b37f.0923,31.1,44.0,+6.9,227,online,11/0-13D3C2-U1C0L0,4/13/2016 9:00:04 PM,
001b.ddd3.4b62,192.168.26.25,100.65.108.245,f4f2.6d6b.7bb3,37.4,49.0,-4.9,223,online,11/0-13D3C2-U7C0L0,4/13/2016 9:00:04 PM,
001b.ddc2.d6e4,,100.65.99.66,f4f2.6d5b.3317,38.7,55.2,+8.1,215,online,11/0-13D3C3-U0C0L0,4/13/2016 9:00:04 PM,
0023.ee19.c7c4,192.168.34.2,100.65.97.136,c83a.3507.2e00,37.6,55.2,+3.8,217,online,11/0-13D3C3-U0C0L0,4/13/2016 9:00:04 PM,
0026.2496.1f6a,192.168.11.105,,,39.9,50.4,+2.8,205,online,11/0-13D3C3-U0C0L0,4/13/2016 9:00:04 PM,
0021.43df.1cce,192.168.36.66,100.65.110.252,f4f2.6d6b.70cb,34.4,55.2,-6.4,211,online,11/0-13D3C3-U1C0L0,4/13/2016 9:00:04 PM,
0023.ed14.d216,192.168.23.137,100.65.102.251,c83a.350b.d4b8,38.5,55.2,+3.5,225,online,11/0-13D3C3-U1C0L0,4/13/2016 9:00:04 PM,
145b.d133.f9fb,192.168.15.28,100.65.103.143,c83a.3519.ec88,36.4,55.2,+7.1,230,online,11/0-13D3C3-U1C0L0,4/13/2016 9:00:04 PM,
0019.5e34.2b7c,192.168.37.87,100.65.105.52,30b5.c2f1.c297,38.6,55.2,-0.7,222,online,11/0-13D3C3-U1C0L0,4/13/2016 9:00:04 PM,
001b.ddd8.2dde,192.168.32.243,100.65.101.53,c83a.3550.3918,38.1,51.0,+7.1,228,online,11/0-13D3C3-U3C0L0,4/13/2016 9:00:04 PM,
001b.ddb8.67c4,192.168.18.143,100.65.101.210,c83a.3546.4518,38.3,54.0,+4.8,233,online,11/0-13D7C0-U2C0L0,4/13/2016 9:00:04 PM,
0014.e867.84f4,192.168.25.227,101.99.38.166,e894.f643.5761,34.8,40.9,-11.4,227,online,11/0-13D7C0-U3C0L0,4/13/2016 9:00:04 PM,
